Timestamp,D00,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,D13,D14,D15,D16,D17,D18
2024/6/27 16:59,,,,,2,,1,4,3,9,5,7,8,12,10,11,13,,
2024/6/27 14:34,1,,,,4,,2,3,5,7,10,9,11,12,,13,15,16,14
2024/6/27 14:35,1,,,4,3,2,5,9,10,12,11,,,,13,14,15,16,
2024/6/27 14:36,1,,,,4,3,5,7,9,10,11,12,,,13,14,15,16,
2024/6/27 14:37,1,,,,4,3,5,9,10,12,11,,,,13,14,15,16,
2024/6/27 14:38,1,,,,4,3,5,9,7,10,12,11,,,13,14,15,16,
2024/6/27 14:39,1,,,,4,3,5,9,7,10,12,11,,,13,14,15,16,
2024/6/27 14:40,1,,,,3,2,4,5,7,10,9,11,12,16,13,14,15,,
2024/6/27 14:41,1,,,,4,3,5,7,2,10,12,9,11,,13,14,15,16,
2024/6/27 14:42,1,,,,4,,3,9,5,10,11,,,12,13,14,15,16,
2024/6/27 14:43,1,,,,,2,4,3,9,10,5,12,11,,13,14,15,16,
2024/6/27 14:44,1,,,,4,3,5,9,10,11,7,12,,,13,14,15,16,
2024/6/27 14:45,1,,,,4,2,3,5,9,10,12,11,,,13,14,15,16,
2024/6/27 14:46,1,,,,3,2,4,9,5,10,12,11,,,13,14,15,16,
2024/6/27 14:47,1,,,,4,3,5,7,2,10,12,9,11,,13,14,15,16,
2024/6/27 14:48,1,,,,4,3,5,7,10,9,11,12,,14,13,15,16,,
2024/6/27 14:49,1,,,,4,2,3,5,10,9,11,12,,14,13,15,16,,
2024/6/27 14:50,1,,,,3,2,4,9,5,10,12,11,8,14,13,15,16,,
2024/6/27 14:51,1,,,,3,,4,9,10,5,11,,12,13,14,15,16,,
2024/6/27 14:52,1,,,,3,,4,5,7,10,9,12,11,14,13,15,16,,
2024/6/27 14:53,1,,,,3,,4,9,5,10,11,12,13,14,15,16,,,
2024/6/27 14:54,1,,,,4,2,3,5,7,10,9,12,11,13,14,15,16,,
2024/6/27 14:55,1,,,,4,3,5,9,7,10,11,8,12,13,14,15,16,,
2024/6/27 14:56,1,,,,3,2,4,5,7,10,9,11,12,,13,14,15,16,
2024/6/27 14:57,1,,,,4,3,5,7,10,9,11,,12,,13,14,15,16,
2024/6/27 14:58,1,,,,4,,3,5,7,10,9,11,12,13,14,15,16,,
